lower_b,upper_b,bounds
0,1,"(0.0, 1.0]"
1,2,"(0.999, 2.0]"
2,3,"(2.0, 3.0]"
3,4,"(3.0, 4.0]"
4,5,"(4.0, 5.0]"
5,6,"(5.0, 6.0]"
6,7,"(6.0, 7.0]"
7,8,"(7.0, 8.0]"
8,9,"(8.0, 9.0]"
9,11,"(9.0, 11.0]"
11,12,"(11.0, 12.0]"
12,14,"(12.0, 14.0]"
14,16,"(14.0, 16.0]"
16,18,"(16.0, 18.0]"
18,20,"(18.0, 20.0]"
20,22,"(20.0, 22.0]"
22,25,"(22.0, 25.0]"
25,27,"(25.0, 27.0]"
27,30,"(27.0, 30.0]"
30,33,"(30.0, 33.0]"
33,36,"(33.0, 36.0]"
36,40,"(36.0, 40.0]"
40,43,"(40.0, 43.0]"
43,47,"(43.0, 47.0]"
47,51,"(47.0, 51.0]"
51,55,"(51.0, 55.0]"
55,60,"(55.0, 60.0]"
60,64,"(60.0, 64.0]"
64,69,"(64.0, 69.0]"
69,74,"(69.0, 74.446]"
74,80,"(74.446, 80.0]"
80,86,"(80.0, 86.0]"
86,93,"(86.0, 93.0]"
93,99,"(93.0, 99.0]"
99,107,"(99.0, 107.0]"
107,115,"(107.0, 115.0]"
115,123,"(115.0, 123.0]"
123,132,"(123.0, 132.0]"
132,142,"(132.0, 142.0]"
142,152,"(142.0, 152.0]"
152,164,"(152.0, 164.0]"
164,176,"(164.0, 176.0]"
176,189,"(176.0, 189.0]"
189,203,"(189.0, 203.0]"
203,218,"(203.0, 218.0]"
218,235,"(218.0, 235.0]"
235,254,"(235.0, 254.0]"
254,274,"(254.0, 274.0]"
274,296,"(274.0, 296.0]"
296,321,"(296.0, 321.0]"
321,350,"(321.0, 350.0]"
350,382,"(350.0, 382.0]"
382,417,"(382.0, 417.0]"
417,458,"(417.0, 458.0]"
458,505,"(458.0, 505.0]"
505,560,"(505.0, 560.0]"
560,627,"(560.0, 627.0]"
627,708,"(627.0, 708.0]"
708,810,"(708.0, 810.0]"
810,947,"(810.0, 947.0]"
947,1146,"(947.0, 1146.0]"
1146,1464,"(1146.0, 1464.0]"
1464,2175,"(1464.0, 2175.0]"
2175,3000166,"(2175.0, 3000166.0]"
